class	size	virtual_size	raw score (mean)	pval (mean)	raw score (median)	pval (median)	aroc rate	log-3	log-4	log-5	log-6	log-7	log-8
excretion(GO:0007588)	41	34	2.180655179	0.49622	1.36714504	0.81153	0.439708725	0.122881997	0.161398209	0.057861705	0.097219949	0.223951445	0.240931695
exo-alpha-sialidase(GO:0004308)	12	11	2.689093655	0.3928	2.319115392	0.63919	0.561688703	0.231306735	0.280945411	0.291856568	0.382429718	0.458083885	0.631404317
exocytosis(GO:0006887)	38	23	1.782477256	0.58883	0.997525239	0.87881	0.389987461	0.027302228	0.018874429	0.08362277	0.217399198	0.330989601	0.382078627
exonuclease(GO:0004527)	30	22	3.752778398	0.21943	2.688924592	0.5816	0.593453843	0.113433514	0.164177016	0.138298628	0.115887889	0.262546189	0.167863239
exopeptidase(GO:0008238)	46	41	2.380850717	0.45314	1.526005312	0.77993	0.476165756	0.110547286	0.139731157	0.152453992	0.20483357	0.24210343	0.315721767
exotoxin(GO:0019845)	8	8	2.166251687	0.50038	0.729318835	0.92537	0.414538665	0.285579569	0.307303762	0.248202788	0.385053587	0.566840302	0.71580696
external protective structure organization and biogenesis(GO:0045229)	10	4	2.130850427	0.5071	1.801857224	0.72797	0.449103058	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
extracellular ligand-gated ion channel(GO:0005230)	71	55	2.32504148	0.46568	1.383303981	0.80724	0.460216948	0.019838595	0.028532335	0.064158778	0.15090021	0.202008606	0.272373197
"extracellular matrix constituent, adhesive(GO:0030022)"	5	4	2.165518973	0.50038	1.809491818	0.72797	0.508939321	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
extracellular matrix glycoprotein(GO:0005207)	22	18	1.97602927	0.54377	0.934106721	0.88805	0.401236801	0.193075841	0.221379719	0.154212909	0.292810307	0.36938792	0.471074674
extracellular matrix organization and biogenesis(GO:0030198)	11	7	1.312575484	0.70719	0.664917078	0.93546	0.341391236	0.069104759	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
extracellular matrix structural constituent conferring tensile strength(GO:0030020)	25	15	1.778772062	0.59123	1.629681248	0.76234	0.425999598	0.022698222	0.094988113	0.076598644	0.196310637	0.34477583	0.534103089
extracellular matrix structural constituent(GO:0005201)	79	61	1.948836484	0.55071	1.348633779	0.81522	0.434985661	0.02382602	0.091288129	0.018315437	0.009204015	0.058737779	0.077480937
extrinsic membrane protein(GO:0019898)	4	4	3.948148512	0.19513	2.71067197	0.57525	0.689290874	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.144430828
eye morphogenesis (sensu Drosophila)(GO:0007456)	6	5	0.811502891	0.84536	0.700323854	0.92855	0.270222757	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
eye morphogenesis(GO:0001654)	9	8	0.904129374	0.82048	0.975731945	0.88213	0.294582631	0.047165683	0.12997312	0.254209358	0.419827894	0.566840302	0.71580696
eye pigment biosynthesis(GO:0006726)	10	8	3.04225485	0.32669	3.48085219	0.46996	0.542775837	0.154043812	0.178412876	0.248202788	0.419827894	0.566840302	0.71580696
facit collagen(GO:0005593)	7	6	1.574487842	0.63932	1.43577437	0.79825	0.437921484	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
F-actin capping(GO:0003782)	7	7	3.554690803	0.24622	1.771368695	0.73401	0.584625179	0.313701777	0.341297905	0.394492294	0.375498315	0.313358572	0.223048828
fat-soluble vitamin metabolism(GO:0006775)	11	11	2.576215647	0.41433	2.738000051	0.57289	0.515275663	0.231306735	0.193339748	0.312594921	0.382429718	0.370863671	0.296664842
fatty acid beta-oxidation(GO:0006635)	10	7	2.289128415	0.47426	1.942406158	0.70467	0.471258237	0.242883739	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
fatty acid binding(GO:0005504)	4	4	1.543691791	0.64672	1.714278455	0.74307	0.384150012	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
fatty acid biosynthesis(GO:0006633)	21	15	1.489686893	0.66223	0.823309828	0.9074	0.363222825	0.149088914	0.094988113	0.076598644	0.196310637	0.34477583	0.534103089
fatty acid metabolism(GO:0006631)	75	59	2.128269059	0.50932	1.673926639	0.75103	0.471010191	0.067527617	0.007803124	0.002402093	0.03702236	0.065523199	0.084284465
fatty acid oxidation(GO:0019395)	11	8	2.151869634	0.50275	1.942406158	0.70467	0.462057336	0.265378933	0.12997312	0.254209358	0.419827894	0.566840302	0.71580696
fatty-acid ligase(GO:0015645)	6	5	2.68244894	0.3928	1.645482441	0.75696	0.52435882	0.320392215	0.235734836	0.396759683	0.333134433	0.701361285	0.811454522
fatty-acid synthase(GO:0004312)	5	4	2.697822529	0.39085	2.207413622	0.66136	0.470322658	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
Fe2S2 electron transfer carrier(GO:0009492)	6	4	1.94064596	0.55071	1.003406728	0.87698	0.353810498	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
Fe3S4/Fe4S4 electron transfer carrier(GO:0009497)	4	4	1.249111804	0.72565	1.688852456	0.74945	0.347489766	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
feeding behavior(GO:0007631)	17	14	2.949908147	0.34418	2.642709453	0.59004	0.536041466	0.144567054	0.116475845	0.289013723	0.261828441	0.381564386	0.333162915
female meiosis chromosome segregation(GO:0016321)	4	4	3.738689322	0.22185	3.759785337	0.43046	0.746297857	0.087136606	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
female meiotic recombination(GO:0007145)	5	4	4.314426456	0.15543	3.253396934	0.50204	0.68137491	0.281506813	0.419050518	0.376626963	0.297009483	0.221464771	0.144430828
fertilization (sensu Animalia)(GO:0007338)	13	13	1.883724994	0.56525	1.16153754	0.84797	0.445647639	0.201103679	0.239245702	0.107924166	0.24394728	0.397418995	0.580725359
fertilization(GO:0009566)	13	13	1.883724994	0.56525	1.16153754	0.84797	0.445647639	0.201103679	0.239245702	0.107924166	0.24394728	0.397418995	0.580725359
FGF receptor signaling pathway(GO:0008543)	14	10	3.740610268	0.22065	3.528378292	0.46469	0.579192771	0.120088815	0.116637227	0.140941572	0.199699769	0.119624654	0.281179636
fibrillar collagen(GO:0005583)	12	6	2.115468707	0.51158	1.973577059	0.69941	0.50030106	0.282459155	0.377507532	0.358057057	0.521602209	0.653308958	0.778234229
fibroblast growth factor receptor ligand(GO:0005162)	14	7	1.102417252	0.76402	0.276227138	0.98928	0.254950878	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
fibroblast growth factor receptor(GO:0005007)	9	4	1.480021509	0.66223	0.988096176	0.88091	0.248073682	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
filopodium(GO:0030175)	10	8	1.813507279	0.5814	1.942216021	0.70467	0.432365695	0.285579569	0.302253673	0.254209358	0.419827894	0.566840302	0.71580696
FK506 binding(GO:0005528)	8	6	1.331007656	0.70202	2.272296116	0.64636	0.361131182	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
flavin-containing electron transporter(GO:0015933)	64	60	2.749140315	0.38082	2.07090615	0.68377	0.531036364	0.093091984	0.106819132	0.11431608	0.113486213	0.202603975	0.217514805
flavodoxin(GO:0009457)	5	5	1.723199248	0.6031	1.724004911	0.74124	0.456520169	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
fluid secretion(GO:0007589)	8	6	1.852763146	0.57244	1.354105373	0.81327	0.347483141	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
fluid transport(GO:0042044)	8	6	1.62608672	0.62724	0.990340931	0.87881	0.355230411	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
focal adhesion kinase(GO:0004717)	6	4	5.030271987	0.09546	5.283996656	0.25508	0.63890561	0.281506813	0.182480293	0.105386691	0.297009483	0.221464771	0.144430828
focal adhesion(GO:0005925)	23	17	2.569226794	0.41635	1.353685789	0.81327	0.484980246	0.204239897	0.218520741	0.258462972	0.282689202	0.374517644	0.35695436
folate binding(GO:0005542)	5	5	2.207378591	0.49206	0.812733162	0.90999	0.43359422	0.344771205	0.405945729	0.396759683	0.333134433	0.701361285	0.811454522
folic acid and derivative biosynthesis(GO:0009396)	5	4	2.745669249	0.38082	3.24089824	0.50358	0.518932097	0.281506813	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
folic acid and derivative metabolism(GO:0006760)	6	5	2.570833575	0.41433	1.871490879	0.71487	0.522143287	0.320392215	0.405945729	0.424930531	0.5813859	0.701361285	0.811454522
frizzled receptor signaling pathway(GO:0007222)	8	8	3.75337388	0.21943	4.110698297	0.38562	0.573762346	0.154043812	0.064694072	0.092570631	0.154305703	0.085746197	0.244505203
frizzled receptor(GO:0004928)	9	8	3.534444653	0.24918	3.428206181	0.47884	0.619956035	0.154043812	0.178412876	0.248202788	0.154305703	0.085746197	0.244505203
frizzled-2 receptor signaling pathway(GO:0007223)	11	6	3.601459935	0.23884	1.703600293	0.74493	0.484465318	0.282459155	0.377507532	0.401240846	0.35870215	0.288313959	0.778234229
fructose 6-phosphate metabolism(GO:0006002)	5	5	2.091466723	0.51597	1.157619199	0.84988	0.412137267	0.344771205	0.405945729	0.396759683	0.333134433	0.701361285	0.811454522
fructose metabolism(GO:0006000)	12	12	2.089536304	0.51818	2.206387	0.66136	0.435104845	0.146202762	0.261249781	0.295155296	0.374315198	0.426676519	0.605536445
"fructose-2,6-bisphosphatase(GO:0004331)"	4	4	1.27125555	0.71747	2.206387	0.66136	0.323952564	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
fucosyltransferase(GO:0008417)	11	9	1.454653607	0.67015	0.423788842	0.97271	0.30423376	0.25067944	0.263484415	0.360186061	0.376641551	0.527990371	0.686491811
G1 phase of mitotic cell cycle(GO:0000080)	8	5	1.418394749	0.68094	0.968304794	0.88384	0.334111981	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
G1/S transition of mitotic cell cycle(GO:0000082)	22	16	3.564142507	0.24474	3.168373345	0.51334	0.602596757	0.025660988	0.21921957	0.270638553	0.323374146	0.378401345	0.350273756
G2/M transition of mitotic cell cycle(GO:0000086)	9	7	4.69576369	0.12103	2.8115806	0.56193	0.686326801	0.242883739	0.29738265	0.220866077	0.375498315	0.313358572	0.223048828
GABA receptor(GO:0016917)	40	38	2.454151362	0.43853	1.447483874	0.7958	0.486714853	0.053403378	0.064129896	0.170703521	0.20670535	0.145727691	0.262246343
GABA-A receptor(GO:0004890)	38	36	2.503215144	0.42819	1.447483874	0.7958	0.488699541	0.070970257	0.080279544	0.180570648	0.204889815	0.133964093	0.255461005
galactose binding lectin(GO:0005531)	8	7	3.584161088	0.24205	2.982895676	0.53787	0.566318542	0.242883739	0.29738265	0.220866077	0.375498315	0.313358572	0.223048828
galactose binding(GO:0005534)	8	7	3.584161088	0.24205	2.982895676	0.53787	0.566318542	0.242883739	0.29738265	0.220866077	0.375498315	0.313358572	0.223048828
galactose metabolism(GO:0006012)	5	4	3.428104085	0.26508	5.306273051	0.25361	0.541295449	0.281506813	0.182480293	0.105386691	0.297009483	0.752941299	0.846088534
galactosyltransferase(GO:0008378)	13	11	1.881562894	0.56525	2.534340597	0.60726	0.453143314	0.178484366	0.060436294	0.152046761	0.303126642	0.458083885	0.631404317
gametogenesis(GO:0007276)	104	86	3.014930177	0.33176	1.310767527	0.82029	0.501536908	0.082199849	0.034549254	0.011254658	0.045095948	0.036294756	0.077935542
gamma DNA-directed DNA polymerase(GO:0003895)	10	9	4.817872047	0.11116	4.396855627	0.35167	0.739884084	0.027188789	0.026173747	0.032715277	0.047507272	0.527990371	0.686491811
gamma-amino butyric acid signaling pathway(GO:0007214)	24	23	1.765312633	0.5937	1.447483874	0.7958	0.447526508	0.027302228	0.002816463	0.019419532	0.082280096	0.195224935	0.382078627
gap junction(GO:0005921)	5	4	5.363302154	0.07551	3.053717752	0.52794	0.599957862	0.281506813	0.419050518	0.376626963	0.297009483	0.221464771	0.144430828
gas transport(GO:0015669)	6	5	2.083833773	0.51818	1.162588345	0.84797	0.429403974	0.344771205	0.405945729	0.396759683	0.5813859	0.701361285	0.811454522
GDP-dissociation inhibitor(GO:0005092)	6	5	4.203077608	0.1664	2.149145549	0.67151	0.622925948	0.344771205	0.405945729	0.396759683	0.333134433	0.701361285	0.811454522
general regulation of protein biosynthesis(GO:0006417)	8	6	2.496909899	0.4302	1.137593694	0.85409	0.405989082	0.328165729	0.377507532	0.401240846	0.35870215	0.653308958	0.778234229
general RNA polymerase II transcription factor(GO:0016251)	34	28	3.927718319	0.19761	3.562228832	0.45947	0.642128368	0.001059384	0.008608887	0.132300837	0.093002021	0.081971245	0.21394705
germ-cell development(GO:0007281)	9	4	3.426987939	0.26508	2.735269517	0.57289	0.561371298	0.40397385	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
germ-cell migration(GO:0008354)	5	4	4.603076309	0.12855	4.139661993	0.38309	0.502227306	0.281506813	0.182480293	0.376626963	0.297009483	0.221464771	0.144430828
globin(GO:0001524)	5	4	1.289487356	0.71471	1.162588345	0.84797	0.321604864	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
gluconeogenesis(GO:0006094)	7	7	1.695921253	0.61007	1.380156698	0.80724	0.427625127	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
glucose catabolism(GO:0006007)	40	30	2.518743214	0.42625	1.605567583	0.76548	0.456638486	0.063641547	0.140390209	0.190586122	0.182615318	0.280392028	0.226521562
glucose metabolism(GO:0006006)	63	48	2.407188627	0.44882	1.605567583	0.76548	0.452869059	0.05449742	0.092449621	0.140671848	0.184136016	0.202520321	0.277191042
glucose transport(GO:0015758)	8	7	2.127600358	0.50932	2.013342003	0.69443	0.477331773	0.242883739	0.341297905	0.301701015	0.467959592	0.608543448	0.746370111
glucose transporter(GO:0005355)	8	7	2.844541121	0.36234	2.013342003	0.69443	0.514856936	0.242883739	0.29738265	0.394492294	0.375498315	0.313358572	0.223048828
glucosidase(GO:0015926)	8	6	0.65803457	0.88976	0.38238432	0.97726	0.212307322	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
glucuronosyltransferase(GO:0015020)	12	9	2.418872465	0.4466	0.996673267	0.87881	0.462233466	0.25067944	0.306203869	0.360186061	0.388677089	0.527990371	0.686491811
glutamate channel(GO:0015259)	30	16	2.014557967	0.53413	0.913067421	0.8922	0.388835303	0.125249343	0.171219079	0.064529394	0.176099753	0.321125746	0.51221098
glutamate metabolism(GO:0006536)	8	5	2.938827353	0.34598	1.143040222	0.85214	0.474581577	0.344771205	0.405945729	0.396759683	0.5813859	0.701361285	0.811454522
glutamate receptor(GO:0008066)	44	27	1.830179482	0.57694	0.828318343	0.9074	0.368031801	0.027306722	0.073234362	0.049429114	0.165256537	0.292470415	0.323119214
glutamate signaling pathway(GO:0007215)	23	14	2.114499316	0.51158	1.26229025	0.82958	0.432867819	0.174725994	0.21627846	0.238013304	0.351528707	0.370164396	0.556928008
glutamate transport(GO:0015813)	6	4	1.494875941	0.65946	1.19567857	0.84258	0.352064772	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
glutamate transporter(GO:0005313)	8	6	1.410160471	0.68094	1.19567857	0.84258	0.358883269	0.282459155	0.377507532	0.358057057	0.521602209	0.653308958	0.778234229
glutamate-ammonia ligase(GO:0004356)	4	4	0.824584762	0.84266	0.941296935	0.88643	0.28136287	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
glutamate-gated ion channel(GO:0005234)	30	16	2.014557967	0.53413	0.913067421	0.8922	0.388835303	0.125249343	0.171219079	0.064529394	0.176099753	0.321125746	0.51221098
glutamine amidotransferase(GO:0016003)	9	7	3.376705153	0.27253	1.577965282	0.77052	0.508766195	0.242883739	0.143855083	0.068636051	0.02457419	0.313358572	0.746370111
glutamine family amino acid biosynthesis(GO:0009084)	12	8	1.333551607	0.70202	1.30229912	0.82167	0.321067213	0.047165683	0.12997312	0.254209358	0.419827894	0.566840302	0.71580696
glutamine family amino acid catabolism(GO:0009065)	18	13	2.456505992	0.43853	1.297109562	0.82419	0.469993788	0.201103679	0.137159855	0.262300029	0.24394728	0.397418995	0.580725359
glutamine family amino acid metabolism(GO:0009064)	37	28	2.264756462	0.47869	1.30229912	0.82167	0.434009211	0.08670639	0.115549906	0.206520149	0.236751359	0.282503919	0.30985584
glutamine metabolism(GO:0006541)	14	12	2.820640198	0.366	1.577965282	0.77052	0.504308267	0.176059572	0.252949044	0.183575284	0.089942123	0.376888393	0.605536445
glutathione biosynthesis(GO:0006750)	7	6	2.712889957	0.38676	1.944094413	0.70467	0.487736834	0.328165729	0.274068357	0.187176934	0.35870215	0.288313959	0.778234229
glutathione conjugation reaction(GO:0006803)	10	6	1.128116659	0.75856	0.340368656	0.98147	0.147840398	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
glutathione metabolism(GO:0006749)	7	6	2.712889957	0.38676	1.944094413	0.70467	0.487736834	0.328165729	0.274068357	0.187176934	0.35870215	0.288313959	0.778234229
glutathione peroxidase(GO:0004602)	7	7	3.149705606	0.30902	2.658359754	0.58695	0.646599336	0.242883739	0.29738265	0.394492294	0.375498315	0.608543448	0.746370111
glutathione transferase(GO:0004364)	17	13	1.341305204	0.69932	0.651227986	0.93742	0.28779633	0.042244556	0.036267526	0.107924166	0.24394728	0.397418995	0.580725359
glycerol metabolism(GO:0006071)	14	11	1.783858677	0.58883	1.504394616	0.78538	0.399434762	0.076744891	0.193339748	0.152046761	0.303126642	0.458083885	0.631404317
glycerol-3-phosphate dehydrogenase (NAD+)(GO:0004367)	7	6	1.846680064	0.57451	1.81527167	0.72593	0.464193963	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
glycerol-3-phosphate dehydrogenase complex(GO:0009331)	9	7	1.774819148	0.59123	1.504394616	0.78538	0.422102166	0.069104759	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
glycerol-3-phosphate metabolism(GO:0006072)	9	7	1.774819148	0.59123	1.504394616	0.78538	0.422102166	0.069104759	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
glycerophospholipid metabolism(GO:0006650)	14	11	1.336463036	0.70202	0.729295549	0.92537	0.344181665	0.178484366	0.193339748	0.152046761	0.303126642	0.458083885	0.631404317
glycine hydroxymethyltransferase(GO:0004372)	4	4	2.432569243	0.4426	2.21319394	0.65848	0.553033951	0.40397385	0.419050518	0.376626963	0.648012787	0.752941299	0.846088534
glycine metabolism(GO:0006544)	6	6	1.353037204	0.69697	1.700220399	0.74493	0.394026975	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
glycogen biosynthesis(GO:0005978)	15	12	2.109324899	0.51372	0.997795048	0.87881	0.409797542	0.146202762	0.261249781	0.295155296	0.235844716	0.152295866	0.310414461
glycogen metabolism(GO:0005977)	30	25	2.379724181	0.45529	1.339862433	0.81668	0.477267351	0.161801561	0.153517309	0.213204518	0.230093472	0.275660714	0.37586563
glycolipid metabolism(GO:0006664)	8	5	2.001435995	0.53654	1.713146245	0.74307	0.502034919	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
glycolysis(GO:0006096)	36	27	2.63929185	0.4027	1.605567583	0.76548	0.468719957	0.099821578	0.170981132	0.180356786	0.16183524	0.279886151	0.207116824
glycopeptide hormone(GO:0005181)	8	7	1.364737354	0.69436	1.136440425	0.85409	0.355138418	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
